
cyc 1

Using Rep: 1
Dis: 0.41321596749375183

cyc 2

Using Rep: 5
Dis: 0.3947709411527466

cyc 3

Using Rep: 4
Dis: 0.39020761921937747

cyc 4

Using Rep: 3
Dis: 0.38310779995446026

cyc 5

Using Rep: 5
Dis: 0.38052544542129857

cyc 6

Using Rep: 5
Dis: 0.3828421502180621

cyc 7

Using Rep: 2
Dis: 0.37705488365431367

cyc 8

Using Rep: 4
Dis: 0.37476490057762396

cyc 9

Using Rep: 1
Dis: 0.36281880225634233

cyc 10

Using Rep: 5
Dis: 0.35595030604170436

cyc 11

Using Rep: 4
Dis: 0.35062858104702327

cyc 12

Using Rep: 1
Dis: 0.34737230080885656

cyc 13

Using Rep: 1
Dis: 0.34825617729497105

cyc 14

Using Rep: 2
Dis: 0.3388309549043785

cyc 15

Using Rep: 1
Dis: 0.3330593407120256

cyc 16

Using Rep: 5
Dis: 0.3360404296109558

cyc 17

Using Rep: 2
Dis: 0.3300489140144132

cyc 18

Using Rep: 1
Dis: 0.33202515967301494

cyc 19

Using Rep: 5
Dis: 0.3273845093838226

cyc 20

Using Rep: 4
Dis: 0.320540385681567

cyc 21

Using Rep: 3
Dis: 0.31803658944038676

cyc 22

Using Rep: 1
Dis: 0.3189968961456073

cyc 23

Using Rep: 2
Dis: 0.32066302239064154

cyc 24

Using Rep: 5
Dis: 0.31595861858916097

cyc 25

Using Rep: 2
Dis: 0.3145257053188261

cyc 26

Using Rep: 1
Dis: 0.31013878408361617

cyc 27

Using Rep: 4
Dis: 0.30969243524830364

cyc 28

Using Rep: 2
Dis: 0.30819045719333077

cyc 29

Using Rep: 3
Dis: 0.30894986718141104

cyc 30

Using Rep: 3
Dis: 0.30156361710519697

cyc 31

Using Rep: 3
Dis: 0.30371953630910853

cyc 32

Using Rep: 5
Dis: 0.308088308131065

cyc 33

Using Rep: 5
Dis: 0.3051672207802293

cyc 34

Using Rep: 3
Dis: 0.3037074286165671

cyc 35

Using Rep: 5
Dis: 0.30854954919937433

cyc 36

Using Rep: 3
Dis: 0.30812663761431186

cyc 37

Using Rep: 3
Dis: 0.30371605796552786

cyc 38

Using Rep: 1
Dis: 0.30607945002179143

cyc 39

Using Rep: 4
Dis: 0.30743151944056835

cyc 40

Using Rep: 3
Dis: 0.3099248054702521

cyc 41

Using Rep: 5
Dis: 0.3072758811233942

cyc 42

Using Rep: 2
Dis: 0.30540184895449657

cyc 43

Using Rep: 5
Dis: 0.3032724362406425

cyc 44

Using Rep: 5
Dis: 0.30381464501994426

cyc 45

Using Rep: 4
Dis: 0.3027252395500258

cyc 46

Using Rep: 1
Dis: 0.30308184605273897

cyc 47

Using Rep: 5
Dis: 0.30651959360041375

cyc 48

Using Rep: 5
Dis: 0.30642495499799427

cyc 49

Using Rep: 3
Dis: 0.3047310344577386

cyc 50

Using Rep: 1
Dis: 0.30418606215411753

cyc 51

Using Rep: 1
Dis: 0.3096529272021745

cyc 52

Using Rep: 2
Dis: 0.30919054259781553

cyc 53

Using Rep: 3
Dis: 0.3090304651659867

cyc 54

Using Rep: 3
Dis: 0.3009766115537147

cyc 55

Using Rep: 5
Dis: 0.2988334757885984

